,year,month,institution_name,population_felons,civil_addict,total_population,designed_capacity,percent_occupied,staffed_capacity,source_pdf_name
0,1996,1,VSP (VALLEY SP),2294,0,2294,1980,115.9,1980,TPOP1Ad9601.pdf
1,1996,1,SCC (SIERRA CONSERVATION CENTER),322,0,322,320,100.6,320,TPOP1Ad9601.pdf
2,1996,1,NCWF (NO CAL WOMEN'S FACIL),786,4,790,400,197.5,760,TPOP1Ad9601.pdf
3,1996,1,CCWF (CENTRAL CA WOMEN'S FAC),2846,13,2859,2004,142.7,3224,TPOP1Ad9601.pdf
4,1996,1,"CRC (CAL REHAB CTR, WOMEN)",91,703,794,500,158.8,842,TPOP1Ad9601.pdf
5,1996,1,CIW (CA INSTITUTION FOR WOMEN),1690,36,1726,1026,168.2,1646,TPOP1Ad9601.pdf
6,1996,1,WSP (WASCO SP),4475,62,4537,2484,182.6,4484,TPOP1Ad9601.pdf
7,1996,1,SCC (SIERRA CONSERVATION CENTER),6010,0,6010,3606,166.7,5884,TPOP1Ad9601.pdf
8,1996,1,SRTA (SANTA RITA CO. JAIL-RC),811,0,811,395,205.3,750,TPOP1Ad9601.pdf
9,1996,1,RJD (RJ DONOVAN CORRECTIONAL FAC),4577,0,4577,2200,208.0,4566,TPOP1Ad9601.pdf
10,1996,1,PVSP (PLEASANT VALLEY SP),4080,0,4080,2208,184.8,4008,TPOP1Ad9601.pdf
11,1996,1,PBSP (PELICAN BAY SP),3509,1,3510,2280,153.9,3730,TPOP1Ad9601.pdf
12,1996,1,NKSP (NORTH KERN SP),4525,1,4526,2492,181.6,4472,TPOP1Ad9601.pdf
13,1996,1,MCSP (MULE CREEK SP),3530,0,3530,1700,207.6,3562,TPOP1Ad9601.pdf
14,1996,1,ISP (IRONWOOD SP),3874,0,3874,2200,176.1,4000,TPOP1Ad9601.pdf
15,1996,1,HDSP (HIGH DESERT SP),2364,0,2364,1712,138.1,2224,TPOP1Ad9601.pdf
16,1996,1,FOL (FOLSOM SP) (MALE),3757,0,3757,2064,182.0,3710,TPOP1Ad9601.pdf
17,1996,1,DVI (DEUEL VOCATIONAL INSTITUTION),3480,51,3531,1787,197.6,3396,TPOP1Ad9601.pdf
18,1996,1,CTF (CORRECTIONAL TRAINING FAC),6359,3,6362,2981,213.4,6341,TPOP1Ad9601.pdf
19,1996,1,CVSP (CHUCKAWALLA VALLEY SP),3514,0,3514,1738,202.2,3579,TPOP1Ad9601.pdf
20,1996,1,"SOL (CA SP, SOLANO)",4720,0,4720,2110,223.7,4777,TPOP1Ad9601.pdf
21,1996,1,SQ (SAN QUENTIN SP),5604,63,5667,3136,180.7,5412,TPOP1Ad9601.pdf
22,1996,1,"SAC (CA SP, SACRAMENTO)",3147,0,3147,1728,182.1,3204,TPOP1Ad9601.pdf
23,1996,1,"LAC (CA SP, LOS ANGELES COUNTY)",3978,0,3978,2200,180.8,4000,TPOP1Ad9601.pdf
24,1996,1,"COR (CA SP, CORCORAN)",4997,0,4997,2916,171.4,4978,TPOP1Ad9601.pdf
25,1996,1,CEN (CENTINELA SP),4033,0,4033,2208,182.7,4248,TPOP1Ad9601.pdf
26,1996,1,CAL (CALIPATRIA SP),3941,0,3941,2208,178.5,4008,TPOP1Ad9601.pdf
27,1996,1,"CRC (CAL REHAB CTR, MEN)",1776,2201,3977,1814,219.2,3906,TPOP1Ad9601.pdf
28,1996,1,CMC (CA MEN'S COLONY),6454,1,6455,3884,166.2,6474,TPOP1Ad9601.pdf
29,1996,1,CMF (CA MEDICAL FAC),3081,0,3081,2335,131.9,3339,TPOP1Ad9601.pdf
30,1996,1,CIM (CA INSTITUTION FOR MEN),5800,48,5848,2778,210.5,5971,TPOP1Ad9601.pdf
31,1996,1,CCI (CA CORRECTIONAL INSTITUTION),5718,1,5719,2757,207.4,5728,TPOP1Ad9601.pdf
32,1996,1,CCC (CA CORRECTIONAL CENTER),5865,1,5866,3682,159.3,5637,TPOP1Ad9601.pdf
